ts	phase	decision	why	evidence	result
2026-09-17T17:32:04Z	live-6	Started sixth full-set batch plus four fixed Provenance mapping controls on frozen sources	Verify source-bound private proof, explicit uncovered-text review and joint-claim membership end to end without relaxing expectations	local-tests-integrated-iteration-06.log,local-driver-integrated-iteration-06.log,iteration-06-0b927fa3/reservation.json	1684tests633subtests and9driverchecks8subtests pass;6/20reserved;all11requiredsuites plusmapping;livepending
2026-09-17T17:46:32Z	live-6	Completed sixth full-set batch and retained diagnostic serialization failure	Private excerpt whitespace failures and real word substitutions need different handling; false emotional refusal and incomplete mappings remain runtime defects	iteration-06-0b927fa3/summary.json,iteration-06-0b927fa3/component-analysis.md,iteration-06-0b927fa3/smoke-analysis.md,repair-6-design.md	6/20used;Hume andsmoke pass;sourceunchanged;noallpass;mapping ungraded becauseDecimal serialization failed
2026-09-17T17:48:36Z	repair-6	Accepted whitespace-only private proof normalization and clarified reflection review, then passed full local checks	Valid proof line wrapping should not block inference; word substitutions must. Observed false distress refusal, unbound quotes and background-versus-findings errors need precise drafting and review instructions	repair-6-design.md,local-tests-integrated-iteration-07.log,local-driver-iteration-07.log,local-boundary-source-excerpt.log	1690tests633subtests and9driverchecks8subtests pass;independentreview pending;publicquotechecks andgold unchanged
2026-09-17T17:50:29Z	live-7	Started seventh complete set plus mapping controls after independent review	Verify actual private excerpt and response repairs on the same model without changing expected outcomes	iteration-07-e1e6fe49/reservation.json,local-tests-integrated-iteration-07.log,local-driver-iteration-07.log,audit-notes.md	7/20reserved;runtimefrozen;1690tests633subtests andindependent53tests8subtests pass;livepending
2026-09-17T18:20:37Z	live-7-review	Completed all component and smoke reviews and indexed 48 native reports through iteration7	Aggregate release thresholds cannot excuse the identity-theme safe decline or the two false approvals in negative mapping controls	iteration-07-e1e6fe49/component-analysis.md,iteration-07-e1e6fe49/smoke-analysis.md,iteration-07-e1e6fe49/mapping-analysis.md,report-index.json	7/20 used at this checkpoint; source unchanged; direct and release strict11/12 despite release targets_pass; smoke6/6; mapping2/4; no all-pass; pending expectation decisions unchanged
2026-09-17T18:21:54Z	approval-block	Paused live iteration8 after two automatic approval rejections; requested explicit data-destination permission	Reviewer requires explicit permission for evaluation prompts/corpus excerpts sent to OpenAI, Exa smoke and Logfire despite the user authorizing live reruns; read-only destination check verified api.openai.com	src/linger/agents/build.py; run_batch.py; live-budget.json; active task approval-rejection outputs	No new batch reserved or provider call made; budget7/20; offline checks continue
2026-09-17T18:23:04Z	verification	Completed final offline repair7 verification and persisted approval-block evidence	All earlier-rejection test expectations now match the source-bound review stage; preserve exact reasons live8 cannot start	local-tests-repair-7-verified.log; iteration-8-approval-block.md; audit-notes.md; report-index.json	1750 tests and633 subtests pass; live7/20; all-pass gate not met; no commit/push
2026-09-17T22:54:01Z	investigation	Confirmed unchanged live transport paths and distinguished actual Exa payloads from model prompts	Investigate the approval block without bypassing it or treating investigate as transfer approval	iteration-8-approval-block.md; iteration-07-e1e6fe49/source-hashes.json; iteration-07-e1e6fe49/suite-smoke.diagnostics.json	Code hashes unchanged for provider/settings/telemetry/web wrapper/drivers; Exa saw one general query and3 public URLs; no live8 execution
2026-09-18T00:47:02Z	live-8	Started full evaluation batch8 after explicit transfer approval	User approved the described OpenAI Exa and Logfire transfers; prior execution block cleared	iteration-08-a0b8741f/reservation.json; live-budget.json; active task approval	Running with source frozen; eight of20 iterations reserved; no commit/push
2026-09-18T01:08:17Z	live-8-complete	Completed and semantically reviewed full batch8 without changing source during execution	Measure grouped support and quote/retention repairs against original expectations and negative controls	iteration-08-a0b8741f/summary.json; iteration-08-a0b8741f/component-analysis.md; iteration-08-a0b8741f/smoke8-analysis.md; iteration-08-a0b8741f/mapping-analysis.md; report-index.json	Native20/29; direct11/12; release10/12; mapping4/4; fullsetfails;56 native reports reviewed
2026-09-18T01:08:17Z	repair-8	Added concurrent memory-ID repair feedback and clarified quote-repair indices; prepared same-model high-reasoning experiment	Pinocchio first retry omitted an independently checkable fault; Roses null-index repair inconsistent; other failures reflect judgment/adherence despite existing guidance	repair-8-design.md; local-tests-repair-8.log; local-driver-repair-8.log; iteration-9-plan.json	1756 tests and633subtests; driver9tests+8subtests pass; no iteration9 reserved yet
2026-09-18T01:10:25Z	live-9	Started targeted same-model high-reasoning batch9 with frozen source	Test verified mechanical repairs and whether higher effort improves adherence before adding more validation machinery	iteration-09-d5215f1b/reservation.json; repair-8-design.md; local-tests-repair-8.log; iteration-9-plan.json	9/20 reserved;7 selected suites; complete-set gate remains required; no commit/push
2026-09-18T01:12:56Z	verified-fixes	Closed three individually verified bugs while keeping the full evaluation task open	Inclusive scope handoff, completed-title parsing and usage accounting have repeated local/live evidence independent of remaining semantic failures	linger-hn7j; linger-c0kp; linger-fasa; iteration-08-a0b8741f/suite-release.json; report-index.json	Three issues closed; fullset stillfails; live9 running; no commit/push
2026-09-18T01:24:19Z	iteration-9	Completed targeted high-reasoning batch 9; keep overall task open	Useful release improvements coexist with semantic misses, provider errors, and unchanged expectation mismatches	iteration-09-d5215f1b/summary.json; repair-9-design.md	7/13 native Scenes; 11/12 release; 3/4 mapping; source unchanged; no commit
2026-09-18T01:29:13Z	repair-9	Distinguish exploratory reflection and assess collective support before verdicts	Pigeon falsely rejects invited possibilities; mapping9 and Roses9 accept claims stronger than their authentic source excerpts	repair-9-design.md; iteration-09-d5215f1b/mapping-analysis.md; iteration-09-d5215f1b/component-analysis.md	Implementation ready for independent review and offline checks; live effect unverified
2026-09-18T01:29:13Z	diagnostics	Record only known provider HTTP error status in future evaluation exchanges	Three iteration9 reviews failed before returning output and prior artifacts cannot distinguish their cause	tests/test_failed_evaluation_transcript.py; iteration-09-d5215f1b/smoke9-analysis.md	40 tests and 11 subtests passed; past provider causes remain unknown
2026-09-18T01:31:27Z	verification	Repair9 passes the complete current offline collection and independent focused review	Changed review contract and diagnostic sink need integration coverage before another paid batch	local-tests-repair-9.log; local-driver-repair-9.log; tests/test_provenance_group_audit.py; repair-9-design.md	1750 tests plus12 external-path checks passed; 641 subtests; no live semantic claim
2026-09-18T01:34:46Z	iteration-10	Reserve targeted batch10 with source frozen and unchanged expectations	Test policy clarity and evidence-before-verdict format on prior failures without rerunning unaffected native suites yet	iteration-10-694474e9/reservation.json; iteration-10-plan.json	10/20 reserved; same Luna/high; full-set gate still unmet
2026-09-18T01:46:47Z	iteration-10	Completed batch10; personal reflection fixed but overall gate still fails	All9 native Scenes and12 release cases reviewed; mapping partial-support error persists and five reviews fail before output	iteration-10-694474e9/summary.json; iteration-10-694474e9/component-analysis.md; iteration-10-694474e9/mapping-analysis.md	5/9 native;11/12 release;3/4 mapping; source unchanged; no commit
2026-09-18T01:46:47Z	comparison	Restore medium reasoning and add closed provider-error categories before next comparison	High has not established a reliability improvement; null HTTP status cannot distinguish transport errors	repair-10-design.md; tests/test_agent_build.py	Keep same model and all source/grade/retry policies; next live outcome unverified
2026-09-18T01:49:25Z	verification	Repair10 passes all1763 offline tests and648 subtests	Provider SDK classification and model setting changed; validate integration before comparison	local-tests-repair-10.log; repair-10-design.md; iteration-11-plan.json	Independent39tests27subtests also passed; no live improvement claim
2026-09-18T01:51:16Z	iteration-11	Reserve medium-reasoning comparison on five unresolved suites	Keep model, repaired prompts, source pools and expected answers fixed while comparing effort and recording known provider failure kinds	iteration-11-1239bfff/reservation.json; repair-10-design.md	11/20 reserved; targeted not complete; source frozen
2026-09-18T01:54:28Z	verified-fixes	Close five individually verified retrieval and ambiguity issues while the overall evaluation remains open	Window coverage and restored stopping events are proven; three ambiguous controls now compare both occurrences and withhold unsafe grants	apps/backend/rerank_windows.py; tests/test_rerank_windows.py; tests/test_boundary_event_resolution.py; iteration-08-a0b8741f/suite-9.native-summary.json; iteration-08-a0b8741f/suite-11.native-summary.json; iteration-09-d5215f1b/suite-12.native-summary.json	hwxg/n8vx/14sc/69gn/rt2x closed; gold, semantic review, provider failures and overall9oqp remain open
2026-09-18T02:07:56Z	iteration-11	Completed the medium comparison; retain failed semantic checks and source-binding guards	All six native Scenes, twelve release cases, four mapping controls and smoke were reviewed; no provider errors occurred, but ordinary-limit false rejections and real mapping defects remain	iteration-11-1239bfff/summary.json; iteration-11-1239bfff/component-analysis.md; iteration-11-1239bfff/mapping-analysis.md; iteration-11-1239bfff/smoke11-analysis.md; report-index.json	3/6 native; 9/12 release; 4/4 mapping; credible smoke; source unchanged; targeted not full; 11/20 consumed; no commit
2026-09-18T02:10:22Z	repair-11	Repair retained quote punctuation and release reader-context handoff	Batch11 exposed incomplete quote declaration after terminal punctuation changed and an empty reader message at release review	repair-11-design.md; red quote test DID NOT RAISE before fix; harness red current_line empty; local-tests-repair-11.log; independent runtime review	1765 tests plus 640 subtests pass; no gold or retries changed; prepare complete batch12 plus mapping
2026-09-18T02:31:39Z	iteration-12	Completed and reviewed the full evaluation set; preserve actual failures and misleading passes	All 73 native reports are reviewed; Farm borrows an undeclared source and one mapping negative falsely passes, while overlap grouping falsely omits a declared contribution	synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-12-7098e696/summary.json; synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-12-7098e696/component-analysis.md; synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-12-7098e696/componentdirect-analysis.md; synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-12-7098e696/mapping-analysis.md; synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-12-7098e696/smoke12-analysis.md; synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/report-index.json	19/29 native; 10/12 release; 11/12 direct; 2/4 mapping; smoke failed; source unchanged; full set failed; 12/20 consumed; no commit/push
2026-09-18T02:39:06Z	repair-12	Repair overlapping claim coverage, quotation edge feedback and failed mapping diagnostics	Full12 exposed real deterministic projection and mechanical repair gaps alongside semantic model failures	repair-12-design.md; repair-12-overlap-design.md; local-tests-repair-12.log; independent grade/runtime reviews	1795 tests plus648 subtests pass; source limits and retry budgets unchanged; prepare targeted13 of20
2026-09-18T02:58:46Z	review-13	Keep reader-quote classification semantic after finding a false label	A word-boundary patch would catch she inside finished but reject legitimate quoted fragments and would not establish source attribution	iteration-13-4d9bca6b/suite-10.json; src/linger/agents/provenance/quotation_audit.py; independent grade review	Confirmed semantic mistake; no ad hoc lexical restriction added
2026-09-18T03:02:13Z	iteration-13	Completed targeted execution and reviewed all five native reports; retain failures and pending expectation decisions	Source manifests match and all native inputs are unchanged; provider truncation, unsupported mappings and review false rejections remain distinct	iteration-13-4d9bca6b/summary.json; iteration-13-4d9bca6b/mapping-analysis.md; iteration-13-4d9bca6b/smoke13-analysis.md; report-index.json; expectation-review.md; run-comparison-12-13.md	13/18 native Scenes and14/20 judgments;10/12 strict release;4/4 mapping; smoke failed;78 native reports; targeted not full;13/20 consumed; release semantic report pending; no commit/push
2026-09-18T03:03:52Z	iteration-13-review	Completed release semantic review and superseded the pending-review status in the preceding iteration13 row	All twelve release cases and binding checks are now reviewed; strict passes do not erase the Pigeon source-support concern or Father-william repair failure	iteration-13-4d9bca6b/component-analysis.md; iteration-13-4d9bca6b/release-binding-review.json; iteration-13-4d9bca6b/summary.json; report-index.json; expectation-review.md; run-comparison-12-13.md	All selected artifacts reviewed; 13/18 native Scenes and 14/20 judgments; 10/12 strict release and 11/12 released; 4/4 mapping; smoke failed; source unchanged; 13/20 consumed; no iteration14 reserved; no commit/push
2026-09-18T03:05:10Z	review-model-comparison-preparation	Prepare a controlled Luna-medium versus Sol-medium Provenance comparison without executing it	Fixed saved inputs separate reviewer behavior from fresh retrieval and Muse prose; exact-model live approval remains pending	compare_review_models.py; test_compare_review_models.py; review-model-comparison-plan.json; comparison-preparation-validation.txt; independent grade review	12 exact saved inputs;24 top-level reviews planned;21 offline tests plus18 subtests pass; one future shared reservation;13/20 still consumed; no provider calls or production model change
2026-09-18T07:52:26Z	approved-expectations	Apply explicit human approval for optional spoiler support and Chapter5 identity interpretation	User approved items2and3 while leaving Sol comparison unapproved; preserve required anchors, ceilings, historical files and semantic review	expectation-proposals/approved-2026-09-18/amendments.json; approved-menu.json; approved-expectation-probe.json; local-tests-approved-expectations.log; independent runtime review	1812 tests and648subtests pass; four source-bound optional amendments; original grades unchanged; next full batch remains Luna;13/20 consumed
2026-09-18T07:54:45Z	iteration-14	Start complete Luna evaluation with explicitly approved expectations	Measure runtime behavior against the approved source-bound optional support and qualified identity interpretation; Sol remains unapproved	iteration-14-76df3f36/reservation.json; iteration-14-plan.json; approved-menu.json; local-tests-approved-expectations.log	14/20 reserved; full eleven suites plus mapping; source frozen; no commit/push
2026-09-18T08:14:20Z	iteration-14-complete	Complete full Luna run and review all results after approved expectation changes	Separate accepted evidence policy from remaining runtime inference, quotation and reviewer failures; conditional commit gate remains unmet	iteration-14-76df3f36/summary.json; iteration-14-76df3f36/review-summary.md; iteration-14-76df3f36/component-analysis.md; live-budget.json	25/29 native;12/12 direct;10/12 release;4/4 mapping;smoke fails;220 source hashes unchanged;14/20 consumed;no commit/push
2026-09-18T08:17:35Z	iteration-14-audit	Accept independent audit of approval scope, live results and source binding	Keep remaining semantic failures visible and do not treat corrected expectations as an all-pass repair	iteration-14-76df3f36/independent-audit.md; iteration-14-76df3f36/release-binding-review.json; report-index.json	No material trail discrepancy; residual runtime and grading concerns explicit; six iterations remain; all-pass commit gate unmet
2026-09-18T08:33:27Z	repair-15-design	Separate current-event identification from proposed boundary proof; improve literal repair feedback and revision discipline; launch all suites concurrently	Iteration14 shows unsupported grants and repeated repair failures despite valid retrieval; independent event judgment avoids another self-asserted flag, while existing source gates remain enforced	repair-15-boundary-design.md; repair-15-muse-design.md; repair-15-provenance-design.md; iteration-15-plan.json	Implementation authorized; no provider calls yet;14/20 used; Roses optional correction pending human decision; current Luna model retained
2026-09-18T08:43:35Z	iteration-15	Start full Luna evaluation with twelve concurrent suites after three independently reviewed repairs	Test independent event identification and improved quotation/source-copy repair without changing approved expectations or retry budgets	iteration-15-2fea4d3d/reservation.json; iteration-15-plan.json; repair-15-review.md; local-tests-repair-15-final.log	1832 tests and648subtests passed;15/20 reserved;222 source hashes frozen;Roses correction remains pending;no commit/push
2026-09-18T10:28:31Z	iteration-15-recovery	Closed interrupted reservation15 with saved outcomes only	No evaluation process survived; missing outcomes must stay unknown and the batch still counts	iteration-15-2fea4d3d/summary.json; iteration-15-2fea4d3d/recovery-review.md; iteration-15-2fea4d3d/component-analysis.md	15/20 consumed; direct12/12 mapping3/4 recoveredPigeon3/3; source222 unchanged
2026-09-18T10:32:24Z	repair-16	Validated Prove contradiction repair, Muse copy diagnostics and denied-boundary observations	Saved run15 exposed contradictory joint support and unhelpful quotation feedback; evaluator must distinguish rejected proof from granted scope	repair-16-review.md; local-tests-repair-16-final.log; muse-copy-repair-offline.json	1855 tests648 subtests pass; independent review no blockers; same model and retry budget
2026-09-18T10:33:26Z	iteration-16	Started12 concurrent suites after full local pass	Authorized complete live comparison on repaired candidate; initial launcher import failure occurred before reservation or provider calls and was corrected	iteration-16-corrected-launch.json; iteration-16-8128af83/reservation.json; iteration-16-8128af83/source-hashes.json	16/20 reserved; same Luna medium; source freeze active
2026-09-18T10:44:55Z	iteration-16-review	Kept failed batch and identified misleading source-mapping passes	Automated counts miss Pigeon partial-support acceptance; valid identity interpretation still rejected by narrow anchor	iteration-16-8128af83/review-summary.md; iteration-16-8128af83/component-analysis.md; iteration-16-8128af83/summary.json	24/29native12/12direct11/12release2/4mapping; source222 unchanged;16/20 consumed
2026-09-18T10:50:30Z	repair-17	Validated member-local support context, concise boundary proof and alternative identity anchors	Real falsepositive mappings borrowed adjacent undeclared source; Farm output truncated; approved interpretation rejected by overly narrow anchor; revision drift added quote and outcome claims	repair-17-review.md; local-tests-repair-17.log; identity-alternatives-amendment-17.json; iteration-17-provenance-input-expansion.json	1877tests670subtests pass; same model/retries; contextgrowth<=1.89x measured; Rosespending
2026-09-18T10:52:17Z	iteration-17	Started full12suite concurrent live evaluation after independent review	Verify member-source proximity and other prospective repairs under same model without hidden retries	iteration-17-e83c3776/reservation.json; iteration-17-e83c3776/source-hashes.json; local-tests-repair-17.log	17/20 reserved222sourcesfrozen;1877tests670subtests passed
2026-09-18T11:04:06Z	iteration-17-review	Kept provider failures and semantic defects distinct; reduced next concurrency prospectively	429 interrupts several paths; missingjoint fixed in this sample but valid joint rejected; personalcontrols have reasoning defects	iteration-17-e83c3776/review-summary.md; iteration-17-e83c3776/summary.json; iteration-17-e83c3776/native-analysis.md	22/29native11/12direct10/12release3/4mapping; source222unchanged;17/20consumed
2026-09-18T11:06:59Z	repair-18	Validated attribution consistency, diagnostics and reduced-concurrency execution	Preserve legitimate joint support and honest failure causes while reducing request pressure; clarify exact-quote interior versus display wrapper	repair-18-review.md; local-tests-repair-18.log; local-quote-wrapper-guidance-18.log	1896tests670subtests;95focused+10subtests after prompt clarification; same model/retries
2026-09-18T11:07:41Z	iteration-18	Started all12 suites once with concurrency6	Reduce peak calls after429 failures while preserving parallel work and exact budget accounting	iteration-18-c15a6da6/reservation.json; iteration-18-launch.json; iteration-18-c15a6da6/source-hashes.json	18/20reserved222sourcesfrozen; nohiddenretry
2026-09-18T11:19:42.918376+00:00	iteration-18-review	Retained strict failures and reviewed all passing outputs	Separate boundary proof gaps, filtered review output and semantic mapping defects	iteration-18-c15a6da6/review-summary.md	26/29 Scenes;28/32 judgments;direct12/12;release12/12;mapping4/4;smoke pass;222 hashes unchanged
2026-09-18T11:23:44.993167+00:00	repair-19	Preserve source authority while repairing redundant inventory and mapping guidance	Saved18 failures separate harmless bookkeeping from missing support and review errors	repair-19-review.md; local-tests-repair-19.log	1904 tests670subtests passed; same Luna medium; launched19 all12 concurrency6
2026-09-18T11:38:31.910740+00:00	iteration-19-review	Preserved runtime and semantic failures; prepared final bounded fixes	All-pass not met despite credible direct/mapping; provider429 and false passes remain distinct	iteration-19-c264f342/review-summary.md	23/29Scenes25/32judgments;direct12/12;release6/12;mapping4/4;smokefailed;222hashesmatch
2026-09-18T11:38:31.910855+00:00	approved-douglass-optional20	Allowed existing exact Chapter7 pit quotation as optional spoiler support	Explicit user approval2 permits additional verified relevant support; required anchors and ceiling preserved	expectation-proposals/douglass-optional-pit-20/amendment-receipt.json	Scenario, compiler and successor adoption validated; no historical grades changed
2026-09-18T11:39:25.138588+00:00	iteration-20	Launched final full12suite batch with3concurrent workers	Final bounded repairs validated; reduce peak request pressure after19HTTP429	repair-20-review.md; iteration-20-launch.json; local-tests-repair-20.log	1904tests670subtests pass; same Luna medium; last authorized iteration
2026-09-18T11:46:08.697608+00:00	iteration-20-final	Stopped at the authorized cap without commit or push	Full strict and semantic pass not achieved; provider429 blocks most paths and misleading passes remain	final-review.md; iteration-20-2f76d7ae/review-summary.md; local-tests-repair-20.log	20/20complete;222hashesunchanged;2/29Scenes2/32judgments;direct4/12;release0/12;mapping1/4;smokefailed;1904localtests670subtests
2026-09-18T12:05:33.447403+00:00	authorization-21	Extended ledger by one newly authorized full batch	User requested live rerun after suspected credit exhaustion; retain model/runtime/GT unchanged	live-budget-before-extension-21.json; live-budget.json; local-driver-budget-21.log	21 maximum,20 historical reservations preserved; onlydrivercap changed
2026-09-18T12:27:21Z	iteration-21-final	Completed the single additional full batch and reviewed every case	API availability recovered, but strict failures and misleading passes remain; all-pass commit condition is unmet	iteration-21-f155ea01/review-summary.md; iteration-21-f155ea01/summary.json; local-driver-budget-21.log	23/29 Scenes;25/32 judgments;direct12/12;release11/12;mapping4/4;smoke pass;no recorded429;222 hashes unchanged;no commit/push
2026-09-18T13:01:14Z	selected-checkpoint-18	Restored the user-selected iteration18 checkpoint and prepared its commit	Explicit commit instruction selects18 despite known live failures; preserve later work and verify exact source identity	iteration-18-c15a6da6/checkpoint-recovery.json; iteration-18-c15a6da6/checkpoint-audit.md; iteration-18-c15a6da6/checkpoint-validation.log; docs/iteration-18-checkpoint.md	222 hashes match;1896 tests and670 subtests pass;later work archived;unused comparison experiment excluded and tracked;no provider calls
2026-09-18T13:02:54Z	committed-checkpoint-18	Committed the exact iteration18 runtime and adopted inputs on librarian-all	User explicitly selected18 and requested a branch summary with open issues	b2f6ec5; docs/iteration-18-checkpoint.md; iteration-18-c15a6da6/checkpoint-audit.md	276 files committed;222 index hashes match;1896 tests670subtests pass;raw diagnostic log preserved;later work retained locally;no push
